graph_id,shape_id,block_type,batch_size,seq_len,hidden_dim,intermediate_dim,dtype,candidate_id,is_baseline,rewrite_family,plan_desc,num_measure_runs,latency_p50_ms,latency_mean_ms,latency_std_ms,latency_cv,latency_rank_within_graph
g00_000,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,baseline_separate_silu,1,fusion_related_gate_up_projection,"default: separate gate_proj and up_proj, F.silu(gate) * up",3,0.06348799914121628,0.06519466638565063,0.0024135919635369855,0.03702131013693197,3
g00_000,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,fused_chunk_manual_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, manual gate * sigmoid(gate) * up",3,0.0655359998345375,0.06587733328342438,0.0004827183927073971,0.007327533897442316,5
g00_000,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,fused_chunk_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, F.silu(gate) * up",3,0.05734400078654289,0.05734400078654289,0.0008360927819171975,0.014580300823960057,1
g00_000,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,fused_split_inplace_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, torch.split, F.silu(gate) then inplace multiply",3,0.058368001133203506,0.05973333368698756,0.0019308718147109003,0.03232486277810953,2
g00_000,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,separate_inplace_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, F.silu(gate) then inplace multiply",3,0.06348799914121628,0.0631466656923294,0.0004827183927073971,0.007644400340302278,4
g00_000,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,separate_manual_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, manual gate * sigmoid(gate) * up",3,0.06963200122117996,0.06929066777229309,0.0004827183927073971,0.006966571520045579,6
g01_000,s1_seq512,transformer_mlp_swiglu,1,512,768,3072,fp16,baseline_separate_silu,1,fusion_related_gate_up_projection,"default: separate gate_proj and up_proj, F.silu(gate) * up",3,0.130048006772995,0.13107200463612875,0.0014481516658848153,0.011048520009326584,2
g01_000,s1_seq512,transformer_mlp_swiglu,1,512,768,3072,fp16,fused_chunk_manual_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, manual gate * sigmoid(gate) * up",3,0.15667200088500977,0.15667199591795603,0.0008360927819245747,0.005336580906024896,6
g01_000,s1_seq512,transformer_mlp_swiglu,1,512,768,3072,fp16,fused_chunk_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, F.silu(gate) * up",3,0.1372160017490387,0.1375573327143987,0.00048271488047002114,0.00350919046585652,3
g01_000,s1_seq512,transformer_mlp_swiglu,1,512,768,3072,fp16,fused_split_inplace_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, torch.split, F.silu(gate) then inplace multiply",3,0.14028799533843994,0.14028799533843994,0.0,0.0,5
g01_000,s1_seq512,transformer_mlp_swiglu,1,512,768,3072,fp16,separate_inplace_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, F.silu(gate) then inplace multiply",3,0.12902399897575378,0.12868266801039377,0.00048271488047002114,0.0037512035453836877,1
g01_000,s1_seq512,transformer_mlp_swiglu,1,512,768,3072,fp16,separate_manual_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, manual gate * sigmoid(gate) * up",3,0.14028799533843994,0.14097066223621368,0.0025543056407611752,0.01811941293487805,4
g02_000,s2_seq2048,transformer_mlp_swiglu,1,2048,768,2304,fp16,baseline_separate_silu,1,fusion_related_gate_up_projection,"default: separate gate_proj and up_proj, F.silu(gate) * up",3,0.27955201268196106,0.27989333868026733,0.0004827078559952693,0.0017246135912747985,2
g02_000,s2_seq2048,transformer_mlp_swiglu,1,2048,768,2304,fp16,fused_chunk_manual_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, manual gate * sigmoid(gate) * up",3,0.3491840064525604,0.34850133458773297,0.0009654438098895459,0.0027702729202791665,6
g02_000,s2_seq2048,transformer_mlp_swiglu,1,2048,768,2304,fp16,fused_chunk_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, F.silu(gate) * up",3,0.31334400177001953,0.3130026658376058,0.00210411182861411,0.006722344753784877,5
g02_000,s2_seq2048,transformer_mlp_swiglu,1,2048,768,2304,fp16,fused_split_inplace_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, torch.split, F.silu(gate) then inplace multiply",3,0.3102720081806183,0.3102719982465108,0.0008360866985731226,0.0026946895088768292,4
g02_000,s2_seq2048,transformer_mlp_swiglu,1,2048,768,2304,fp16,separate_inplace_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, F.silu(gate) then inplace multiply",3,0.27852800488471985,0.2795520027478536,0.00221209587322975,0.007913003131746423,1
g02_000,s2_seq2048,transformer_mlp_swiglu,1,2048,768,2304,fp16,separate_manual_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, manual gate * sigmoid(gate) * up",3,0.2979840040206909,0.2993493378162384,0.0026876679415478136,0.008978366082766124,3
