graph_id,shape_id,seq_len,hidden_dim,intermediate_dim,selector_name,num_candidates,baseline_candidate_id,baseline_latency_ms,oracle_candidate_id,oracle_latency_ms,selected_candidate_id,selected_latency_ms,speedup_vs_baseline,regret_vs_oracle,decision_time_p50_ms,decision_time_p95_ms,win_over_2pct
g00_000,s0_seq128,128,512,1024,Baseline,6,baseline_separate_silu,0.06348799914121628,fused_chunk_silu,0.05734400078654289,baseline_separate_silu,0.06348799914121628,1.0,0.10714282698104349,0.00013000681065022945,0.0005880021490156646,0
g00_000,s0_seq128,128,512,1024,Heuristic,6,baseline_separate_silu,0.06348799914121628,fused_chunk_silu,0.05734400078654289,fused_chunk_silu,0.05734400078654289,1.1071428269810435,0.0,0.00553800055058673,0.010819000453921028,1
g00_000,s0_seq128,128,512,1024,Oracle,6,baseline_separate_silu,0.06348799914121628,fused_chunk_silu,0.05734400078654289,fused_chunk_silu,0.05734400078654289,1.1071428269810435,0.0,0.0009219947969540954,0.0011295545846223827,1
g01_000,s1_seq512,512,768,3072,Baseline,6,baseline_separate_silu,0.130048006772995,separate_inplace_silu,0.12902399897575378,baseline_separate_silu,0.130048006772995,1.0,0.007936568431998747,0.00010049552656710148,0.00013705721357837317,0
g01_000,s1_seq512,512,768,3072,Heuristic,6,baseline_separate_silu,0.130048006772995,separate_inplace_silu,0.12902399897575378,fused_chunk_silu,0.1372160017490387,0.9477612313092054,0.06349208549042373,0.005237998266238719,0.005538548430195078,0
g01_000,s1_seq512,512,768,3072,Oracle,6,baseline_separate_silu,0.130048006772995,separate_inplace_silu,0.12902399897575378,separate_inplace_silu,0.12902399897575378,1.0079365684319987,0.0,0.0008814968168735504,0.0009699513611849396,0
g02_000,s2_seq2048,2048,768,2304,Baseline,6,baseline_separate_silu,0.27955201268196106,separate_inplace_silu,0.27852800488471985,baseline_separate_silu,0.27955201268196106,1.0,0.0036764985182191623,0.00011499651009216905,0.0001305445039179176,0
g02_000,s2_seq2048,2048,768,2304,Heuristic,6,baseline_separate_silu,0.27955201268196106,separate_inplace_silu,0.27852800488471985,fused_chunk_silu,0.31334400177001953,0.8921568981784426,0.12499998662507816,0.005177498678676784,0.005257548036752269,0
g02_000,s2_seq2048,2048,768,2304,Oracle,6,baseline_separate_silu,0.27955201268196106,separate_inplace_silu,0.27852800488471985,separate_inplace_silu,0.27852800488471985,1.0036764985182192,0.0,0.0008659990271553397,0.000978503521764651,0
