block_id,backend_mode,num_candidates,baseline_candidate_id,baseline_latency_p50_ms,best_candidate_id,best_latency_p50_ms,candidate_spread_slowest_over_fastest,median_latency_cv,p90_latency_cv,first_half_winner,second_half_winner,winner_flip
b0_seq128_h1024_i4096,compile,6,p0_baseline_separate_silu,0.09676800295710564,p5_fused_chunk_manual_silu,0.08601599931716919,0.12500004330927195,0.04615532770387963,0.05316242075281148,p5_fused_chunk_manual_silu,p5_fused_chunk_manual_silu,False
b1_seq128_h768_i3072,compile,6,p0_baseline_separate_silu,0.09728000313043594,p3_fused_chunk_silu,0.08960000053048134,0.1257142443749677,0.047315158295580986,0.05879670474080673,p3_fused_chunk_silu,p3_fused_chunk_silu,False
b2_seq512_h768_i3072,compile,6,p0_baseline_separate_silu,0.1085439994931221,p3_fused_chunk_silu,0.10444799810647964,0.03921570026135668,0.02880721052707407,0.031112240809595418,p3_fused_chunk_silu,p5_fused_chunk_manual_silu,True
