block_id,backend_mode,candidate_id,is_baseline,rewrite_family,batch_size,seq_len,hidden_dim,intermediate_dim,dtype,num_measure_runs,latency_p50_ms,latency_mean_ms,latency_std_ms,latency_cv,latency_p10_ms,latency_p90_ms,latency_rank_within_block_backend,compile_prime_time_ms
b0_seq128_h1024_i4096,compile,p0_baseline_separate_silu,True,fusion_related_gate_up_projection,1,128,1024,4096,fp16,30,0.09676800295710564,0.09809920117259026,0.004653093053743479,0.04743252746326738,0.09318400174379349,0.10393599793314935,6,697.6733290357515
b0_seq128_h1024_i4096,compile,p1_separate_manual_silu,False,fusion_related_gate_up_projection,1,128,1024,4096,fp16,30,0.09523200243711472,0.09666560168067614,0.004739326287418587,0.049028053464917266,0.09216000139713287,0.10178559720516205,4,56.35405099019408
b0_seq128_h1024_i4096,compile,p2_separate_inplace_silu_mul,False,fusion_related_gate_up_projection,1,128,1024,4096,fp16,30,0.09625600278377533,0.0973482683300972,0.0043688080412928295,0.044878127944491884,0.09318400174379349,0.10567679852247239,5,58.01625899039209
b0_seq128_h1024_i4096,compile,p3_fused_chunk_silu,False,fusion_related_gate_up_projection,1,128,1024,4096,fp16,30,0.08806400001049042,0.08963413337866465,0.005135747941409691,0.05729678804070569,0.08499199897050858,0.0936960019171238,2,57.41106905043125
b0_seq128_h1024_i4096,compile,p4_fused_split_silu_inplace,False,fusion_related_gate_up_projection,1,128,1024,4096,fp16,30,0.08806400001049042,0.08871253331502278,0.00349055471700967,0.03934680463485954,0.08601599931716919,0.09216000139713287,3,53.721636068075895
b0_seq128_h1024_i4096,compile,p5_fused_chunk_manual_silu,False,fusion_related_gate_up_projection,1,128,1024,4096,fp16,30,0.08601599931716919,0.0867669329047203,0.003192441623050767,0.036793298047730016,0.08396799862384796,0.08939520046114922,1,50.10895896703005
b1_seq128_h768_i3072,compile,p0_baseline_separate_silu,True,fusion_related_gate_up_projection,1,128,768,3072,fp16,30,0.09728000313043594,0.09830400049686432,0.004914610125070467,0.04999399922923007,0.09318400174379349,0.1035263977944851,5,57.2390299057588
b1_seq128_h768_i3072,compile,p1_separate_manual_silu,False,fusion_related_gate_up_projection,1,128,768,3072,fp16,30,0.09625600278377533,0.09728000139196714,0.006576070723448015,0.06759941025238339,0.09216000139713287,0.10270719751715661,4,55.666128057055175
b1_seq128_h768_i3072,compile,p2_separate_inplace_silu_mul,False,fusion_related_gate_up_projection,1,128,768,3072,fp16,30,0.1008639968931675,0.10263893182078997,0.00445689244705846,0.043423020563389154,0.09830400347709656,0.11069440022110939,6,56.4774670638144
b1_seq128_h768_i3072,compile,p3_fused_chunk_silu,False,fusion_related_gate_up_projection,1,128,768,3072,fp16,30,0.08960000053048134,0.0908629335463047,0.004360524661961279,0.047990137361558,0.0870399996638298,0.09840640276670456,1,56.578138028271496
b1_seq128_h768_i3072,compile,p4_fused_split_silu_inplace,False,fusion_related_gate_up_projection,1,128,768,3072,fp16,30,0.09011200070381165,0.09202346727252006,0.004291991006919932,0.04664017922960398,0.08898560032248497,0.09850880280137063,2,53.73871198389679
b1_seq128_h768_i3072,compile,p5_fused_chunk_manual_silu,False,fusion_related_gate_up_projection,1,128,768,3072,fp16,30,0.09113600105047226,0.09192106773455938,0.003624712366404385,0.03943287927063111,0.08898560032248497,0.09646080285310746,3,54.860748001374304
b2_seq512_h768_i3072,compile,p0_baseline_separate_silu,True,fusion_related_gate_up_projection,1,512,768,3072,fp16,30,0.1085439994931221,0.10922666639089584,0.0031167932758633205,0.028535094760734257,0.10649599879980087,0.11182080060243607,6,668.5217239428312
b2_seq512_h768_i3072,compile,p1_separate_manual_silu,False,fusion_related_gate_up_projection,1,512,768,3072,fp16,30,0.10649599879980087,0.10772479896744093,0.0034479969017762245,0.03200745728769805,0.10547199845314026,0.10977279990911484,4,343.267461983487
b2_seq512_h768_i3072,compile,p2_separate_inplace_silu_mul,False,fusion_related_gate_up_projection,1,512,768,3072,fp16,30,0.10751999914646149,0.10820266604423523,0.002318504305426911,0.02142742309583263,0.10649599879980087,0.11161600053310394,5,221.20916401036084
b2_seq512_h768_i3072,compile,p3_fused_chunk_silu,False,fusion_related_gate_up_projection,1,512,768,3072,fp16,30,0.10444799810647964,0.10594986528158187,0.003201489657131942,0.030217024331492783,0.10342399775981903,0.11161600053310394,1,360.24454794824123
b2_seq512_h768_i3072,compile,p4_fused_split_silu_inplace,False,fusion_related_gate_up_projection,1,512,768,3072,fp16,30,0.10547199845314026,0.10608639866113663,0.0030849210019603776,0.029079326293413883,0.10342399775981903,0.10864639952778817,3,210.17094096168876
b2_seq512_h768_i3072,compile,p5_fused_chunk_manual_silu,False,fusion_related_gate_up_projection,1,512,768,3072,fp16,30,0.10444799810647964,0.1050965316593647,0.002336370089418265,0.022230705928439468,0.10332159772515297,0.10751999914646149,2,344.871221925132
