graph_id,shape_id,seq_len,hidden_dim,intermediate_dim,selector_name,num_candidates,baseline_candidate_id,baseline_latency_ms,oracle_candidate_id,oracle_latency_ms,selected_candidate_id,selected_latency_ms,speedup_vs_baseline,regret_vs_oracle,decision_time_p50_ms,decision_time_p95_ms,win_over_2pct
g00_000,s0_seq128,128,512,1024,Baseline,6,baseline_separate_silu,0.06451199948787689,fused_chunk_silu,0.058368001133203506,baseline_separate_silu,0.06451199948787689,1.0,0.10526312766222667,0.00010999792721122503,0.00015999830793589354,0
g00_000,s0_seq128,128,512,1024,Heuristic,6,baseline_separate_silu,0.06451199948787689,fused_chunk_silu,0.058368001133203506,fused_chunk_silu,0.058368001133203506,1.1052631276622267,0.0,0.005048001185059547,0.005519452679436654,1
g00_000,s0_seq128,128,512,1024,Oracle,6,baseline_separate_silu,0.06451199948787689,fused_chunk_silu,0.058368001133203506,fused_chunk_silu,0.058368001133203506,1.1052631276622267,0.0,0.000820989953354001,0.0009010109351947904,1
g00_001,s0_seq128,128,768,3072,Baseline,6,baseline_separate_silu,0.08601599931716919,fused_chunk_silu,0.07782399654388428,baseline_separate_silu,0.08601599931716919,1.0,0.10526319820475316,0.00010999792721122503,0.00013000681065022945,0
g00_001,s0_seq128,128,768,3072,Heuristic,6,baseline_separate_silu,0.08601599931716919,fused_chunk_silu,0.07782399654388428,fused_chunk_silu,0.07782399654388428,1.1052631982047532,0.0,0.004918001650366932,0.005197047721594572,1
g00_001,s0_seq128,128,768,3072,Oracle,6,baseline_separate_silu,0.08601599931716919,fused_chunk_silu,0.07782399654388428,fused_chunk_silu,0.07782399654388428,1.1052631982047532,0.0,0.0008409988367930055,0.0009210052667185664,1
g00_002,s0_seq128,128,1024,3072,Baseline,6,baseline_separate_silu,0.09216000139713287,fused_chunk_silu,0.08294399827718735,baseline_separate_silu,0.09216000139713287,1.0,0.11111115103406188,0.00010550138540565968,0.00012099917512387037,0
g00_002,s0_seq128,128,1024,3072,Heuristic,6,baseline_separate_silu,0.09216000139713287,fused_chunk_silu,0.08294399827718735,fused_chunk_silu,0.08294399827718735,1.1111111510340619,0.0,0.0049670052248984575,0.005167042399989441,1
g00_002,s0_seq128,128,1024,3072,Oracle,6,baseline_separate_silu,0.09216000139713287,fused_chunk_silu,0.08294399827718735,fused_chunk_silu,0.08294399827718735,1.1111111510340619,0.0,0.0008365022949874401,0.0008929528121370821,1
g00_003,s0_seq128,128,1280,3328,Baseline,6,baseline_separate_silu,0.10342399775981903,fused_chunk_silu,0.10239999741315842,baseline_separate_silu,0.10342399775981903,1.0,0.010000003637978816,0.00011100200936198235,0.00014005345292389393,0
g00_003,s0_seq128,128,1280,3328,Heuristic,6,baseline_separate_silu,0.10342399775981903,fused_chunk_silu,0.10239999741315842,fused_chunk_silu,0.10239999741315842,1.0100000036379788,0.0,0.004902496584691107,0.005088050238555297,0
g00_003,s0_seq128,128,1280,3328,Oracle,6,baseline_separate_silu,0.10342399775981903,fused_chunk_silu,0.10239999741315842,fused_chunk_silu,0.10239999741315842,1.0100000036379788,0.0,0.0008310016710311174,0.0008824557880870998,0
g00_004,s0_seq128,128,1536,4608,Baseline,6,baseline_separate_silu,0.1228799968957901,fused_chunk_silu,0.1157120019197464,baseline_separate_silu,0.1228799968957901,1.0,0.061946858209359856,0.00010999792721122503,0.00013099706848151982,0
g00_004,s0_seq128,128,1536,4608,Heuristic,6,baseline_separate_silu,0.1228799968957901,fused_chunk_silu,0.1157120019197464,fused_chunk_silu,0.1157120019197464,1.0619468582093599,0.0,0.004937508492730558,0.005090036574983969,1
g00_004,s0_seq128,128,1536,4608,Oracle,6,baseline_separate_silu,0.1228799968957901,fused_chunk_silu,0.1157120019197464,fused_chunk_silu,0.1157120019197464,1.0619468582093599,0.0,0.0008210045052692294,0.0008710048859938979,1
